1, 0.003, 2.569
2, 0.01, 2.405
3, 0.027, 2.403
4, 0.024, 2.458
5, 0.024, 2.519
6, 0.039, 2.466
7, 0.032, 2.555
8, 0.038, 2.515
9, 0.071, 2.467
10, 0.068, 2.478
11, 0.065, 2.488
12, 0.087, 2.509
13, 0.07, 2.63
14, 0.089, 2.422
15, 0.09, 2.467
16, 0.104, 2.44
17, 0.115, 2.437
18, 0.11, 2.435
19, 0.098, 2.403
20, 0.138, 2.402
21, 0.143, 2.393
22, 0.152, 2.387
23, 0.156, 2.389
24, 0.139, 2.392
25, 0.149, 2.397
26, 0.16, 2.398
27, 0.174, 2.382
28, 0.171, 2.405
29, 0.174, 2.389
30, 0.205, 2.393
31, 0.197, 2.381
32, 0.193, 2.397
33, 0.201, 2.39
34, 0.215, 2.393
35, 0.234, 2.387
36, 0.198, 2.4
37, 0.225, 2.38
38, 0.227, 2.395
39, 0.257, 2.381
40, 0.224, 2.432
41, 0.276, 2.391
42, 0.277, 2.397
43, 0.279, 2.388
44, 0.267, 2.408
45, 0.257, 2.407
46, 0.275, 2.404
47, 0.297, 2.398
48, 0.315, 2.392
49, 0.303, 2.394
50, 0.284, 2.39
51, 0.321, 2.397
52, 0.304, 2.387
53, 0.372, 2.389
54, 0.315, 2.384
55, 0.348, 2.393
56, 0.301, 2.394
57, 0.354, 2.384
58, 0.363, 2.397
59, 0.365, 2.415
60, 0.381, 2.397
61, 0.376, 2.395
62, 0.373, 2.402
63, 0.4, 2.406
64, 0.431, 2.567
65, 0.384, 2.412
66, 0.405, 2.543
67, 0.404, 2.411
68, 0.433, 2.446
69, 0.455, 2.545
70, 0.419, 2.511
71, 0.459, 2.396
72, 0.486, 2.408
73, 0.42, 2.458
74, 0.475, 2.494
75, 0.473, 2.478
76, 0.459, 2.458
77, 0.484, 2.505
78, 0.485, 2.507
79, 0.509, 2.514
80, 0.529, 2.466
81, 0.507, 2.4
82, 0.535, 2.4
83, 0.488, 2.392
84, 0.529, 2.387
85, 0.523, 2.393
86, 0.544, 2.582
87, 0.542, 2.417
88, 0.543, 2.388
89, 0.538, 2.392
90, 0.566, 2.399
91, 0.55, 2.39
92, 0.607, 2.393
93, 0.583, 2.392
94, 0.589, 2.392
95, 0.591, 2.383
96, 0.548, 2.428
97, 0.636, 2.389
98, 0.594, 2.382
99, 0.638, 2.391
100, 0.664, 2.388
101, 0.574, 2.383
102, 0.625, 2.399
103, 0.634, 2.393
104, 0.615, 2.388
105, 0.668, 2.385
106, 0.631, 2.433
107, 0.686, 2.39
108, 0.654, 2.381
109, 0.703, 2.386
110, 0.704, 2.385
111, 0.706, 2.401
112, 0.661, 2.398
113, 0.725, 2.381
114, 0.709, 2.384
115, 0.706, 2.392
116, 0.731, 2.393
117, 0.756, 2.389
118, 0.731, 2.384
119, 0.768, 2.388
120, 0.681, 2.389
121, 0.751, 2.379
122, 0.764, 2.389
123, 0.777, 2.394
124, 0.74, 2.387
125, 0.72, 2.393
126, 0.777, 2.391
127, 0.789, 2.382
128, 0.815, 2.397
129, 0.834, 2.385
130, 0.768, 2.395
131, 0.757, 2.397
132, 0.875, 2.389
133, 0.798, 2.384
134, 0.808, 2.393
135, 0.837, 2.39
136, 0.846, 2.382
137, 0.869, 2.423
138, 0.866, 2.392
139, 0.905, 2.401
140, 0.876, 2.396
141, 0.912, 2.386
142, 0.869, 2.39
143, 0.841, 2.4
144, 0.915, 2.44
145, 0.862, 2.4
146, 0.941, 2.394
147, 0.932, 2.389
148, 0.921, 2.389
149, 0.942, 2.366
150, 0.944, 2.401
151, 0.898, 2.391
152, 0.95, 2.399
153, 0.97, 2.4
154, 0.994, 2.396
155, 0.929, 2.393
156, 0.954, 2.423
157, 0.959, 2.385
158, 0.984, 2.413
159, 0.955, 2.398
160, 0.968, 2.388
161, 1.039, 2.396
162, 0.961, 2.394
163, 1.025, 2.447
164, 1.042, 2.549
165, 1.005, 2.467
166, 0.994, 2.571
167, 0.991, 2.465
168, 1.026, 2.492
169, 1.053, 2.537
170, 1.147, 2.517
171, 1.076, 2.467
172, 1.062, 2.516
173, 1.175, 2.439
174, 1.087, 2.512
175, 1.086, 2.609
176, 0.989, 2.436
177, 0.998, 2.448
178, 1.137, 2.498
179, 1.096, 2.473
180, 1.098, 2.417
181, 1.138, 2.396
182, 1.132, 2.391
183, 1.066, 2.388
184, 1.089, 2.389
185, 1.114, 2.391
186, 1.191, 2.386
187, 1.043, 2.386
188, 1.157, 2.4
189, 1.151, 2.439
190, 1.133, 2.396
191, 1.198, 2.426
192, 1.133, 2.461
193, 1.17, 2.452
194, 1.219, 2.395
195, 1.157, 2.393
196, 1.191, 2.394
197, 1.201, 2.383
198, 1.235, 2.398
199, 1.197, 2.398
200, 1.228, 2.393
201, 1.253, 2.393
202, 1.205, 2.393
203, 1.221, 2.394
204, 1.314, 2.512
205, 1.227, 2.443
206, 1.374, 2.495
207, 1.261, 2.394
208, 1.369, 2.391
209, 1.287, 2.395
210, 1.227, 2.394
211, 1.28, 2.396
212, 1.367, 2.413
213, 1.222, 2.392
214, 1.316, 2.437
215, 1.477, 2.47
216, 1.285, 2.421
217, 1.297, 2.425
218, 1.376, 2.426
219, 1.328, 2.431
220, 1.421, 2.428
221, 1.283, 2.419
222, 1.376, 2.425
223, 1.356, 2.415
224, 1.435, 2.393
225, 1.342, 2.39
226, 1.368, 2.388
